日期,辐照度_0,风速_0,风向_0,温度_0,湿度_0,气压_0,辐照度_1,风速_1,风向_1,温度_1,湿度_1,气压_1,辐照度_2,风速_2,风向_2,温度_2,湿度_2,气压_2,辐照度_3,风速_3,风向_3,温度_3,湿度_3,气压_3,辐照度_4,风速_4,风向_4,温度_4,湿度_4,气压_4,辐照度_5,风速_5,风向_5,温度_5,湿度_5,气压_5,辐照度_6,风速_6,风向_6,温度_6,湿度_6,气压_6,辐照度_7,风速_7,风向_7,温度_7,湿度_7,气压_7,belong,电场实际太阳辐射指数
1.0,0.0,2.1,343.0,-7.2,51.0,69800.0,0.0,3.6,279.0,-9.4,64.0,69800.0,0.0,2.6,270.0,-10.1,61.0,69900.0,333.0,1.4,266.0,-4.2,38.0,70000.0,489.0,0.0,0.0,-0.2,26.0,69800.0,186.0,1.8,119.0,0.2,29.0,69700.0,0.0,1.0,66.0,-3.5,40.0,69700.0,0.0,0.8,14.0,-4.8,42.0,69700.0,0,0.10879926629645098
2.0,0.0,1.1,45.0,-5.2,46.0,69800.0,0.0,1.2,114.0,-5.8,52.0,69600.0,0.0,0.2,297.0,-8.9,59.0,69700.0,328.0,0.8,277.0,-3.9,41.0,69700.0,543.0,1.2,90.0,0.1,32.0,69400.0,198.0,1.4,69.0,1.2,30.0,69200.0,0.0,1.0,294.0,-3.8,45.0,69400.0,0.0,2.5,297.0,-5.4,48.0,69500.0,0,0.13055900531656803
3.0,0.0,2.9,278.0,-7.4,58.0,69500.0,0.0,3.1,270.0,-9.5,66.0,69400.0,0.0,3.7,270.0,-10.8,64.0,69600.0,366.0,0.2,270.0,-3.8,37.0,69700.0,569.0,0.2,180.0,0.2,28.0,69400.0,217.0,0.7,106.0,0.8,29.0,69300.0,0.0,0.1,225.0,-3.8,30.0,69500.0,0.0,0.8,140.0,-3.8,29.0,69500.0,0,0.11423922145133199
4.0,0.0,0.3,90.0,-6.1,38.0,69500.0,0.0,2.1,177.0,-9.1,45.0,69400.0,0.0,1.0,151.0,-10.1,43.0,69400.0,374.0,1.4,176.0,-4.4,26.0,69500.0,577.0,1.8,128.0,0.0,20.0,69200.0,220.0,1.4,65.0,0.5,18.0,69000.0,0.0,0.5,90.0,-3.0,21.0,69100.0,0.0,0.8,270.0,-6.3,26.0,69200.0,0,0.0815994578822788
5.0,0.0,1.4,231.0,-9.9,33.0,69100.0,0.0,1.5,203.0,-11.1,38.0,69100.0,0.0,1.4,234.0,-13.6,38.0,69200.0,371.0,0.6,198.0,-6.2,21.0,69300.0,576.0,1.4,73.0,-2.1,17.0,69100.0,223.0,0.5,0.0,-1.4,19.0,69100.0,0.0,0.2,297.0,-6.1,26.0,69200.0,0.0,1.1,63.0,-7.5,28.0,69300.0,0,0.21215846319884699
6.0,0.0,1.9,43.0,-8.6,44.0,69300.0,0.0,2.4,330.0,-10.9,53.0,69300.0,0.0,2.8,302.0,-12.6,49.0,69300.0,361.0,2.3,301.0,-6.4,30.0,69400.0,577.0,1.4,172.0,-1.8,22.0,69200.0,223.0,2.5,90.0,-1.7,27.0,69000.0,0.0,2.6,74.0,-5.5,32.0,69100.0,0.0,1.7,103.0,-5.3,28.0,69100.0,0,0.119679241885741
7.0,0.0,1.2,95.0,-7.2,37.0,69200.0,0.0,0.7,106.0,-8.8,43.0,69000.0,0.0,1.1,100.0,-10.5,40.0,69000.0,338.0,0.9,36.0,-5.4,29.0,69000.0,571.0,2.3,100.0,-1.2,19.0,68800.0,226.0,3.4,98.0,-0.3,19.0,68700.0,0.0,5.8,116.0,-5.6,40.0,68800.0,0.0,6.0,99.0,-8.1,48.0,68900.0,0,0.10879926629645098
8.0,0.0,4.6,105.0,-10.8,58.0,68900.0,0.0,2.3,128.0,-11.3,62.0,68800.0,0.0,1.2,175.0,-12.7,64.0,68900.0,348.0,0.4,214.0,-8.3,45.0,69000.0,483.0,1.0,96.0,-3.9,34.0,68800.0,159.0,2.3,77.0,-3.7,39.0,68800.0,0.0,4.7,90.0,-7.0,54.0,69000.0,0.0,4.6,104.0,-9.1,65.0,69200.0,0,0.21759787979763
9.0,0.0,3.1,112.0,-11.4,73.0,69300.0,0.0,3.0,124.0,-12.0,76.0,69300.0,0.0,1.9,84.0,-13.2,76.0,69400.0,308.0,0.8,40.0,-10.0,58.0,69500.0,466.0,1.2,66.0,-6.5,43.0,69200.0,173.0,0.7,124.0,-6.0,42.0,69100.0,0.0,3.1,84.0,-7.3,53.0,69200.0,0.0,2.3,119.0,-8.6,62.0,69400.0,0,0.67183508178339
10.0,0.0,2.0,315.0,-10.5,66.0,69600.0,0.0,4.9,302.0,-11.9,60.0,69500.0,0.0,6.9,288.0,-13.0,52.0,69600.0,262.0,4.1,296.0,-9.8,43.0,69700.0,445.0,4.1,288.0,-5.9,28.0,69400.0,180.0,8.2,283.0,-4.6,23.0,69400.0,0.0,6.9,278.0,-8.0,32.0,69600.0,0.0,10.2,281.0,-11.0,40.0,69700.0,0,0.37423171849384396
